"Codi";"Sigles";"Vots";"percent"
"17003";"Sí - No";"0";",00"
"17003";"Sí - En blanc";"0";",00"
"17003";"No";"0";",00"
"17003";"En blanc";"0";",00"
"17003";"Altres";"3";"4,05"
"17011";"Sí - Sí";"445";"94,08"
"17011";"Sí - No";"6";"1,27"
"17011";"Sí - En blanc";"5";"1,06"
"17011";"No";"4";",85"
"17011";"En blanc";"5";"1,06"
"17011";"Altres";"8";"1,69"
"17012";"Sí - Sí";"479";"86,00"
"17012";"Sí - No";"31";"5,57"
"17012";"Sí - En blanc";"10";"1,80"
"17012";"No";"21";"3,77"
"17012";"En blanc";"4";",72"
"17012";"Altres";"12";"2,15"
"17016";"Sí - Sí";"449";"90,34"
"17016";"Sí - No";"9";"1,81"
"17016";"Sí - En blanc";"9";"1,81"
"17016";"No";"20";"4,02"
"17016";"En blanc";"5";"1,01"
"17016";"Altres";"5";"1,01"
"17234";"Sí - Sí";"96";"84,96"
"17234";"Sí - No";"6";"5,31"
"17234";"Sí - En blanc";"1";",88"
"17234";"No";"2";"1,77"
"17234";"En blanc";"2";"1,77"
"17234";"Altres";"6";"5,31"
"17029";"Sí - Sí";"115";"90,55"
"17029";"Sí - No";"3";"2,36"
"17029";"Sí - En blanc";"1";",79"
"17029";"No";"1";",79"
"17029";"En blanc";"1";",79"
"17029";"Altres";"6";"4,72"
"17026";"Sí - Sí";"360";"93,51"
"17026";"Sí - No";"12";"3,12"
"17026";"Sí - En blanc";"0";",00"
"17026";"No";"9";"2,34"
"17026";"En blanc";"3";",78"
"17026";"Altres";"1";",26"
"17031";"Sí - Sí";"92";"90,20"
"17031";"Sí - No";"2";"1,96"
"17031";"Sí - En blanc";"5";"4,90"
"17031";"No";"2";"1,96"
"17031";"En blanc";"0";",00"
"17031";"Altres";"1";",98"
"17030";"Sí - Sí";"285";"86,63"
"17030";"Sí - No";"13";"3,95"
"17030";"Sí - En blanc";"13";"3,95"
"17030";"No";"12";"3,65"
"17030";"En blanc";"2";",61"
"17030";"Altres";"4";"1,22"
"17032";"Sí - Sí";"925";"87,76"
"17032";"Sí - No";"44";"4,17"
"17032";"Sí - En blanc";"13";"1,23"
"17032";"No";"41";"3,89"
"17032";"En blanc";"8";",76"
"17032";"Altres";"23";"2,18"
"17041";"Sí - Sí";"132";"85,71"
"17041";"Sí - No";"9";"5,84"
"17041";"Sí - En blanc";"2";"1,30"
"17041";"No";"2";"1,30"
"17041";"En blanc";"1";",65"
"17041";"Altres";"8";"5,19"
"17042";"Sí - Sí";"244";"86,52"
"17042";"Sí - No";"15";"5,32"
"17042";"Sí - En blanc";"4";"1,42"
"17042";"No";"10";"3,55"
"17042";"En blanc";"0";",00"
"17042";"Altres";"9";"3,19"
"17047";"Sí - Sí";"1894";"83,47"
"17047";"Sí - No";"138";"6,08"
"17047";"Sí - En blanc";"19";",84"
"17047";"No";"122";"5,38"
"17047";"En blanc";"8";",35"
"17047";"Altres";"88";"3,88"
"17051";"Sí - Sí";"148";"90,80"
"17051";"Sí - No";"4";"2,45"
"17051";"Sí - En blanc";"4";"2,45"
"17051";"No";"3";"1,84"
"17051";"En blanc";"1";",61"
"17051";"Altres";"3";"1,84"
"17054";"Sí - Sí";"155";"81,15"
"17054";"Sí - No";"15";"7,85"
"17054";"Sí - En blanc";"4";"2,09"
"17054";"No";"7";"3,66"
"17054";"En blanc";"0";",00"
"17054";"Altres";"10";"5,24"
"17060";"Sí - Sí";"218";"88,26"
"17060";"Sí - No";"9";"3,64"
"17060";"Sí - En blanc";"3";"1,21"
"17060";"No";"11";"4,45"
"17060";"En blanc";"1";",40"
"17060";"Altres";"5";"2,02"
"17062";"Sí - Sí";"2608";"88,17"
"17062";"Sí - No";"125";"4,23"
"17062";"Sí - En blanc";"42";"1,42"
"17062";"No";"82";"2,77"
"17062";"En blanc";"11";",37"
"17062";"Altres";"90";"3,04"
"17064";"Sí - Sí";"181";"81,53"
"17064";"Sí - No";"16";"7,21"
"17064";"Sí - En blanc";"5";"2,25"
"17064";"No";"12";"5,41"
"17064";"En blanc";"3";"1,35"
"17064";"Altres";"5";"2,25"
"17005";"Sí - Sí";"202";"85,96"
"17005";"Sí - No";"11";"4,68"
"17005";"Sí - En blanc";"4";"1,70"
"17005";"No";"7";"2,98"
"17005";"En blanc";"1";",43"
"17005";"Altres";"10";"4,26"
"17066";"Sí - Sí";"9868";"84,90"
"17066";"Sí - No";"754";"6,49"
"17066";"Sí - En blanc";"132";"1,14"
"17066";"No";"413";"3,55"
"17066";"En blanc";"67";",58"
"17066";"Altres";"389";"3,35"
"17074";"Sí - Sí";"252";"86,01"
"17074";"Sí - No";"20";"6,83"
"17074";"Sí - En blanc";"3";"1,02"
"17074";"No";"6";"2,05"
"17074";"En blanc";"3";"1,02"
"17074";"Altres";"9";"3,07"
"17075";"Sí - Sí";"173";"90,58"
"17075";"Sí - No";"8";"4,19"
"17075";"Sí - En blanc";"7";"3,66"
"17075";"No";"0";",00"
"17075";"En blanc";"0";",00"
"17075";"Altres";"3";"1,57"
"17077";"Sí - Sí";"313";"86,46"
"17077";"Sí - No";"14";"3,87"
"17077";"Sí - En blanc";"4";"1,10"
"17077";"No";"15";"4,14"
"17077";"En blanc";"2";",55"
"17077";"Altres";"14";"3,87"
"17086";"Sí - Sí";"637";"79,43"
"17086";"Sí - No";"72";"8,98"
"17086";"Sí - En blanc";"13";"1,62"
"17086";"No";"31";"3,87"
"17086";"En blanc";"8";"1,00"
"17086";"Altres";"41";"5,11"
"17088";"Sí - Sí";"354";"93,65"
"17088";"Sí - No";"14";"3,70"
"17088";"Sí - En blanc";"0";",00"
"17088";"No";"3";",79"
"17088";"En blanc";"1";",26"
"17088";"Altres";"6";"1,59"
"17092";"Sí - Sí";"1527";"84,50"
"17092";"Sí - No";"99";"5,48"
"17092";"Sí - En blanc";"30";"1,66"
"17092";"No";"72";"3,98"
"17092";"En blanc";"12";",66"
"17092";"Altres";"67";"3,71"
"17093";"Sí - Sí";"493";"87,72"
"17093";"Sí - No";"22";"3,91"
"17093";"Sí - En blanc";"10";"1,78"
"17093";"No";"12";"2,14"
"17093";"En blanc";"7";"1,25"
"17093";"Altres";"18";"3,20"
"17102";"Sí - Sí";"327";"88,14"
"17102";"Sí - No";"19";"5,12"
"17102";"Sí - En blanc";"4";"1,08"
"17102";"No";"5";"1,35"
"17102";"En blanc";"4";"1,08"
"17102";"Altres";"12";"3,23"
"17100";"Sí - Sí";"131";"91,61"
"17100";"Sí - No";"4";"2,80"
"17100";"Sí - En blanc";"4";"2,80"
"17100";"No";"2";"1,40"
"17100";"En blanc";"0";",00"
"17100";"Altres";"2";"1,40"
"17106";"Sí - Sí";"82";"83,67"
"17106";"Sí - No";"6";"6,12"
"17106";"Sí - En blanc";"2";"2,04"
"17106";"No";"3";"3,06"
"17106";"En blanc";"2";"2,04"
"17106";"Altres";"3";"3,06"
"17111";"Sí - Sí";"499";"90,40"
"17111";"Sí - No";"31";"5,62"
"17111";"Sí - En blanc";"5";",91"
"17111";"No";"13";"2,36"
"17111";"En blanc";"2";",36"
"17111";"Altres";"2";",36"
"17115";"Sí - Sí";"182";"90,10"
"17115";"Sí - No";"12";"5,94"
"17115";"Sí - En blanc";"1";",50"
"17115";"No";"0";",00"
"17115";"En blanc";"1";",50"
"17115";"Altres";"6";"2,97"
"17119";"Sí - Sí";"44";"88,00"
"17119";"Sí - No";"2";"4,00"
"17119";"Sí - En blanc";"0";",00"
"17119";"No";"2";"4,00"
"17119";"En blanc";"0";",00"
"17119";"Altres";"2";"4,00"
"17120";"Sí - Sí";"396";"88,39"
"17120";"Sí - No";"23";"5,13"
"17120";"Sí - En blanc";"6";"1,34"
"17120";"No";"10";"2,23"
"17120";"En blanc";"3";",67"
"17120";"Altres";"10";"2,23"
"17128";"Sí - Sí";"196";"88,29"
"17128";"Sí - No";"7";"3,15"
"17128";"Sí - En blanc";"8";"3,60"
"17128";"No";"5";"2,25"
"17128";"En blanc";"0";",00"
"17128";"Altres";"6";"2,70"
"17129";"Sí - Sí";"82";"88,17"
"17129";"Sí - No";"0";",00"
"17129";"Sí - En blanc";"3";"3,23"
"17129";"No";"6";"6,45"
"17129";"En blanc";"0";",00"
"17129";"Altres";"2";"2,15"
"17132";"Sí - Sí";"747";"89,03"
"17132";"Sí - No";"48";"5,72"
"17132";"Sí - En blanc";"8";",95"
"17132";"No";"18";"2,15"
"17132";"En blanc";"4";",48"
"17132";"Altres";"14";"1,67"
"17135";"Sí - Sí";"197";"89,55"
"17135";"Sí - No";"7";"3,18"
"17135";"Sí - En blanc";"6";"2,73"
"17135";"No";"6";"2,73"
"17135";"En blanc";"1";",45"
"17135";"Altres";"3";"1,36"
"17136";"Sí - Sí";"88";"88,89"
"17136";"Sí - No";"4";"4,04"
"17136";"Sí - En blanc";"3";"3,03"
"17136";"No";"0";",00"
"17136";"En blanc";"2";"2,02"
"17136";"Altres";"2";"2,02"
"17140";"Sí - Sí";"400";"88,89"
"17140";"Sí - No";"17";"3,78"
"17140";"Sí - En blanc";"3";",67"
"17140";"No";"4";",89"
"17140";"En blanc";"12";"2,67"
"17140";"Altres";"14";"3,11"
"17138";"Sí - Sí";"348";"75,00"
"17138";"Sí - No";"38";"8,19"
"17138";"Sí - En blanc";"11";"2,37"
"17138";"No";"23";"4,96"
"17138";"En blanc";"4";",86"
"17138";"Altres";"40";"8,62"
"17143";"Sí - Sí";"94";"91,26"
"17143";"Sí - No";"3";"2,91"
"17143";"Sí - En blanc";"1";",97"
"17143";"No";"2";"1,94"
"17143";"En blanc";"0";",00"
"17143";"Altres";"3";"2,91"
"17151";"Sí - Sí";"89";"88,12"
"17151";"Sí - No";"3";"2,97"
"17151";"Sí - En blanc";"3";"2,97"
"17151";"No";"5";"4,95"
"17151";"En blanc";"0";",00"
"17151";"Altres";"1";",99"
"17152";"Sí - Sí";"3186";"82,26"
"17152";"Sí - No";"266";"6,87"
"17152";"Sí - En blanc";"42";"1,08"
"17152";"No";"190";"4,91"
"17152";"En blanc";"20";",52"
"17152";"Altres";"169";"4,36"
"17158";"Sí - Sí";"174";"83,65"
"17158";"Sí - No";"14";"6,73"
"17158";"Sí - En blanc";"0";",00"
"17158";"No";"5";"2,40"
"17158";"En blanc";"1";",48"
"17158";"Altres";"14";"6,73"
"17171";"Sí - Sí";"97";"84,35"
"17171";"Sí - No";"3";"2,61"
"17171";"Sí - En blanc";"2";"1,74"
"17171";"No";"5";"4,35"
"17171";"En blanc";"2";"1,74"
"17171";"Altres";"6";"5,22"
"17175";"Sí - Sí";"148";"71,84"
"17175";"Sí - No";"10";"4,85"
"17175";"Sí - En blanc";"7";"3,40"
"17175";"No";"13";"6,31"
"17175";"En blanc";"6";"2,91"
"17175";"Altres";"22";"10,68"
"17176";"Sí - Sí";"65";"89,04"
"17176";"Sí - No";"1";"1,37"
"17176";"Sí - En blanc";"0";",00"
"17176";"No";"6";"8,22"
"17176";"En blanc";"1";"1,37"
"17176";"Altres";"0";",00"
"17178";"Sí - Sí";"645";"88,36"
"17178";"Sí - No";"26";"3,56"
