"Codi";"Sigles";"Vots";"percent"
"25044";"En blanc";"2";"1,74"
"25044";"Altres";"1";",87"
"25061";"Sí - Sí";"35";"97,22"
"25061";"Sí - No";"0";",00"
"25061";"Sí - En blanc";"0";",00"
"25061";"No";"1";"2,78"
"25061";"En blanc";"0";",00"
"25061";"Altres";"0";",00"
"25071";"Sí - Sí";"17";"94,44"
"25071";"Sí - No";"0";",00"
"25071";"Sí - En blanc";"0";",00"
"25071";"No";"0";",00"
"25071";"En blanc";"1";"5,56"
"25071";"Altres";"0";",00"
"25077";"Sí - Sí";"273";"91,30"
"25077";"Sí - No";"8";"2,68"
"25077";"Sí - En blanc";"6";"2,01"
"25077";"No";"2";",67"
"25077";"En blanc";"4";"1,34"
"25077";"Altres";"6";"2,01"
"25088";"Sí - Sí";"59";"95,16"
"25088";"Sí - No";"0";",00"
"25088";"Sí - En blanc";"1";"1,61"
"25088";"No";"2";"3,23"
"25088";"En blanc";"0";",00"
"25088";"Altres";"0";",00"
"25908";"Sí - Sí";"123";"92,48"
"25908";"Sí - No";"4";"3,01"
"25908";"Sí - En blanc";"1";",75"
"25908";"No";"0";",00"
"25908";"En blanc";"3";"2,26"
"25908";"Altres";"2";"1,50"
"25910";"Sí - Sí";"51";"96,23"
"25910";"Sí - No";"0";",00"
"25910";"Sí - En blanc";"0";",00"
"25910";"No";"0";",00"
"25910";"En blanc";"1";"1,89"
"25910";"Altres";"1";"1,89"
"25140";"Sí - Sí";"349";"89,95"
"25140";"Sí - No";"14";"3,61"
"25140";"Sí - En blanc";"3";",77"
"25140";"No";"11";"2,84"
"25140";"En blanc";"3";",77"
"25140";"Altres";"8";"2,06"
"25149";"Sí - Sí";"848";"88,89"
"25149";"Sí - No";"31";"3,25"
"25149";"Sí - En blanc";"13";"1,36"
"25149";"No";"18";"1,89"
"25149";"En blanc";"15";"1,57"
"25149";"Altres";"29";"3,04"
"25155";"Sí - Sí";"366";"85,12"
"25155";"Sí - No";"17";"3,95"
"25155";"Sí - En blanc";"4";",93"
"25155";"No";"13";"3,02"
"25155";"En blanc";"7";"1,63"
"25155";"Altres";"23";"5,35"
"25165";"Sí - Sí";"163";"86,24"
"25165";"Sí - No";"6";"3,17"
"25165";"Sí - En blanc";"2";"1,06"
"25165";"No";"6";"3,17"
"25165";"En blanc";"1";",53"
"25165";"Altres";"11";"5,82"
"25030";"Sí - Sí";"73";"84,88"
"25030";"Sí - No";"8";"9,30"
"25030";"Sí - En blanc";"2";"2,33"
"25030";"No";"0";",00"
"25030";"En blanc";"1";"1,16"
"25030";"Altres";"2";"2,33"
"25185";"Sí - Sí";"304";"85,15"
"25185";"Sí - No";"22";"6,16"
"25185";"Sí - En blanc";"5";"1,40"
"25185";"No";"5";"1,40"
"25185";"En blanc";"7";"1,96"
"25185";"Altres";"14";"3,92"
"25203";"Sí - Sí";"3539";"83,57"
"25203";"Sí - No";"347";"8,19"
"25203";"Sí - En blanc";"71";"1,68"
"25203";"No";"137";"3,23"
"25203";"En blanc";"29";",68"
"25203";"Altres";"112";"2,64"
"25906";"Sí - Sí";"81";"90,00"
"25906";"Sí - No";"4";"4,44"
"25906";"Sí - En blanc";"1";"1,11"
"25906";"No";"1";"1,11"
"25906";"En blanc";"1";"1,11"
"25906";"Altres";"2";"2,22"
"25239";"Sí - Sí";"220";"94,42"
"25239";"Sí - No";"5";"2,15"
"25239";"Sí - En blanc";"2";",86"
"25239";"No";"3";"1,29"
"25239";"En blanc";"0";",00"
"25239";"Altres";"3";"1,29"
"25909";"Sí - Sí";"70";"89,74"
"25909";"Sí - No";"3";"3,85"
"25909";"Sí - En blanc";"1";"1,28"
"25909";"No";"1";"1,28"
"25909";"En blanc";"2";"2,56"
"25909";"Altres";"1";"1,28"
"25173";"Sí - Sí";"540";"75,10"
"25173";"Sí - No";"104";"14,46"
"25173";"Sí - En blanc";"5";",70"
"25173";"No";"38";"5,29"
"25173";"En blanc";"4";",56"
"25173";"Altres";"28";"3,89"
"25043";"Sí - Sí";"354";"89,17"
"25043";"Sí - No";"22";"5,54"
"25043";"Sí - En blanc";"5";"1,26"
"25043";"No";"11";"2,77"
"25043";"En blanc";"2";",50"
"25043";"Altres";"3";",76"
"25245";"Sí - Sí";"139";"75,14"
"25245";"Sí - No";"24";"12,97"
"25245";"Sí - En blanc";"2";"1,08"
"25245";"No";"11";"5,95"
"25245";"En blanc";"3";"1,62"
"25245";"Altres";"6";"3,24"
"08008";"Sí - Sí";"92";"92,93"
"08008";"Sí - No";"5";"5,05"
"08008";"Sí - En blanc";"0";",00"
"08008";"No";"1";"1,01"
"08008";"En blanc";"0";",00"
"08008";"Altres";"1";"1,01"
"08021";"Sí - Sí";"34";"89,47"
"08021";"Sí - No";"1";"2,63"
"08021";"Sí - En blanc";"1";"2,63"
"08021";"No";"2";"5,26"
"08021";"En blanc";"0";",00"
"08021";"Altres";"0";",00"
"08025";"Sí - Sí";"648";"86,75"
"08025";"Sí - No";"55";"7,36"
"08025";"Sí - En blanc";"7";",94"
"08025";"No";"30";"4,02"
"08025";"En blanc";"1";",13"
"08025";"Altres";"6";",80"
"08028";"Sí - Sí";"236";"74,68"
"08028";"Sí - No";"28";"8,86"
"08028";"Sí - En blanc";"9";"2,85"
"08028";"No";"18";"5,70"
"08028";"En blanc";"0";",00"
"08028";"Altres";"25";"7,91"
"08031";"Sí - Sí";"1353";"85,80"
"08031";"Sí - No";"70";"4,44"
"08031";"Sí - En blanc";"23";"1,46"
"08031";"No";"69";"4,38"
"08031";"En blanc";"10";",63"
"08031";"Altres";"52";"3,30"
"08036";"Sí - Sí";"107";"90,68"
"08036";"Sí - No";"3";"2,54"
"08036";"Sí - En blanc";"1";",85"
"08036";"No";"3";"2,54"
"08036";"En blanc";"3";"2,54"
"08036";"Altres";"1";",85"
"08044";"Sí - Sí";"1809";"84,77"
"08044";"Sí - No";"140";"6,56"
"08044";"Sí - En blanc";"21";",98"
"08044";"No";"79";"3,70"
"08044";"En blanc";"12";",56"
"08044";"Altres";"73";"3,42"
"08048";"Sí - Sí";"398";"89,84"
"08048";"Sí - No";"13";"2,93"
"08048";"Sí - En blanc";"6";"1,35"
"08048";"No";"13";"2,93"
"08048";"En blanc";"3";",68"
"08048";"Altres";"10";"2,26"
"08060";"Sí - Sí";"109";"90,83"
"08060";"Sí - No";"9";"7,50"
"08060";"Sí - En blanc";"0";",00"
"08060";"No";"2";"1,67"
"08060";"En blanc";"0";",00"
"08060";"Altres";"0";",00"
"08063";"Sí - Sí";"312";"92,58"
"08063";"Sí - No";"13";"3,86"
"08063";"Sí - En blanc";"5";"1,48"
"08063";"No";"2";",59"
"08063";"En blanc";"1";",30"
"08063";"Altres";"4";"1,19"
"08071";"Sí - Sí";"148";"87,57"
"08071";"Sí - No";"10";"5,92"
"08071";"Sí - En blanc";"3";"1,78"
"08071";"No";"3";"1,78"
"08071";"En blanc";"1";",59"
"08071";"Altres";"4";"2,37"
"08162";"Sí - Sí";"780";"81,50"
"08162";"Sí - No";"77";"8,05"
"08162";"Sí - En blanc";"14";"1,46"
"08162";"No";"36";"3,76"
"08162";"En blanc";"10";"1,04"
"08162";"Altres";"40";"4,18"
"08102";"Sí - Sí";"13367";"87,75"
"08102";"Sí - No";"975";"6,40"
"08102";"Sí - En blanc";"146";",96"
"08102";"No";"337";"2,21"
"08102";"En blanc";"60";",39"
"08102";"Altres";"348";"2,28"
"08103";"Sí - Sí";"328";"88,41"
"08103";"Sí - No";"21";"5,66"
"08103";"Sí - En blanc";"5";"1,35"
"08103";"No";"11";"2,96"
"08103";"En blanc";"1";",27"
"08103";"Altres";"5";"1,35"
"08104";"Sí - Sí";"450";"90,18"
"08104";"Sí - No";"24";"4,81"
"08104";"Sí - En blanc";"5";"1,00"
"08104";"No";"6";"1,20"
"08104";"En blanc";"3";",60"
"08104";"Altres";"11";"2,20"
"08119";"Sí - Sí";"1884";"75,27"
"08119";"Sí - No";"282";"11,27"
"08119";"Sí - En blanc";"33";"1,32"
"08119";"No";"156";"6,23"
"08119";"En blanc";"14";",56"
"08119";"Altres";"134";"5,35"
"08133";"Sí - Sí";"45";"77,59"
"08133";"Sí - No";"5";"8,62"
"08133";"Sí - En blanc";"0";",00"
"08133";"No";"1";"1,72"
"08133";"En blanc";"3";"5,17"
"08133";"Altres";"4";"6,90"
"08143";"Sí - Sí";"1017";"81,49"
"08143";"Sí - No";"119";"9,54"
"08143";"Sí - En blanc";"10";",80"
"08143";"No";"50";"4,01"
"08143";"En blanc";"6";",48"
"08143";"Altres";"46";"3,69"
"08152";"Sí - Sí";"77";"87,50"
"08152";"Sí - No";"3";"3,41"
"08152";"Sí - En blanc";"3";"3,41"
"08152";"No";"0";",00"
"08152";"En blanc";"2";"2,27"
"08152";"Altres";"3";"3,41"
"08161";"Sí - Sí";"3343";"80,34"
"08161";"Sí - No";"375";"9,01"
"08161";"Sí - En blanc";"33";",79"
"08161";"No";"213";"5,12"
"08161";"En blanc";"18";",43"
"08161";"Altres";"179";"4,30"
"08165";"Sí - Sí";"771";"84,45"
"08165";"Sí - No";"62";"6,79"
"08165";"Sí - En blanc";"10";"1,10"
"08165";"No";"19";"2,08"
"08165";"En blanc";"3";",33"
"08165";"Altres";"48";"5,26"
"08170";"Sí - Sí";"285";"89,06"
"08170";"Sí - No";"11";"3,44"
"08170";"Sí - En blanc";"1";",31"
"08170";"No";"7";"2,19"
"08170";"En blanc";"1";",31"
"08170";"Altres";"15";"4,69"
"08176";"Sí - Sí";"100";"94,34"
"08176";"Sí - No";"1";",94"
"08176";"Sí - En blanc";"3";"2,83"
"08176";"No";"0";",00"
"08176";"En blanc";"0";",00"
"08176";"Altres";"2";"1,89"
"08185";"Sí - Sí";"77";"83,70"
"08185";"Sí - No";"1";"1,09"
"08185";"Sí - En blanc";"0";",00"
"08185";"No";"8";"8,70"
"08185";"En blanc";"0";",00"
"08185";"Altres";"6";"6,52"
"08226";"Sí - Sí";"606";"90,85"
"08226";"Sí - No";"24";"3,60"
"08226";"Sí - En blanc";"8";"1,20"
"08226";"No";"13";"1,95"
"08226";"En blanc";"2";",30"
"08226";"Altres";"14";"2,10"
"08228";"Sí - Sí";"180";"85,71"
"08228";"Sí - No";"6";"2,86"
"08228";"Sí - En blanc";"2";",95"
"08228";"No";"5";"2,38"
"08228";"En blanc";"2";",95"
"08228";"Altres";"15";"7,14"
"08189";"Sí - Sí";"96";"92,31"
"08189";"Sí - No";"2";"1,92"
"08189";"Sí - En blanc";"1";",96"
"08189";"No";"0";",00"
"08189";"En blanc";"2";"1,92"
"08189";"Altres";"3";"2,88"
"08250";"Sí - Sí";"1413";"68,66"
"08250";"Sí - No";"253";"12,29"
"08250";"Sí - En blanc";"29";"1,41"
"08250";"No";"204";"9,91"
"08250";"En blanc";"9";",44"
"08250";"Altres";"150";"7,29"
"08257";"Sí - Sí";"65";"92,86"
"08257";"Sí - No";"2";"2,86"
"08257";"Sí - En blanc";"1";"1,43"
"08257";"No";"0";",00"
"08257";"En blanc";"0";",00"
"08257";"Altres";"2";"2,86"
"08286";"Sí - Sí";"878";"79,10"
"08286";"Sí - No";"84";"7,57"
"08286";"Sí - En blanc";"12";"1,08"
"08286";"No";"76";"6,85"
"08286";"En blanc";"6";",54"
"08286";"Altres";"54";"4,86"
"08292";"Sí - Sí";"538";"84,19"
"08292";"Sí - No";"26";"4,07"
"08292";"Sí - En blanc";"6";",94"
"08292";"No";"30";"4,69"
"08292";"En blanc";"0";",00"
"08292";"Altres";"39";"6,10"
"08297";"Sí - Sí";"74";"88,10"
"08297";"Sí - No";"7";"8,33"
"08297";"Sí - En blanc";"1";"1,19"
"08297";"No";"0";",00"
"08297";"En blanc";"0";",00"
"08297";"Altres";"2";"2,38"
"08302";"Sí - Sí";"1745";"65,87"
"08302";"Sí - No";"370";"13,97"
"08302";"Sí - En blanc";"44";"1,66"
"08302";"No";"311";"11,74"
"08302";"En blanc";"15";",57"
"08302";"Altres";"164";"6,19"
"08002";"Sí - Sí";"125";"91,24"
"08002";"Sí - No";"2";"1,46"
"08002";"Sí - En blanc";"2";"1,46"
"08002";"No";"1";",73"
"08002";"En blanc";"3";"2,19"
"08002";"Altres";"4";"2,92"
"08010";"Sí - Sí";"2269";"89,75"
"08010";"Sí - No";"124";"4,91"
"08010";"Sí - En blanc";"24";",95"
"08010";"No";"36";"1,42"
"08010";"En blanc";"16";",63"
"08010";"Altres";"59";"2,33"
"08012";"Sí - Sí";"1116";"90,88"
"08012";"Sí - No";"30";"2,44"
"08012";"Sí - En blanc";"19";"1,55"
"08012";"No";"10";",81"
"08012";"En blanc";"20";"1,63"
"08012";"Altres";"33";"2,69"
"08018";"Sí - Sí";"1202";"85,73"
"08018";"Sí - No";"78";"5,56"
"08018";"Sí - En blanc";"17";"1,21"
"08018";"No";"67";"4,78"
"08018";"En blanc";"19";"1,36"
"08018";"Altres";"19";"1,36"
"08034";"Sí - Sí";"487";"93,12"
"08034";"Sí - No";"14";"2,68"
"08034";"Sí - En blanc";"1";",19"
"08034";"No";"9";"1,72"
"08034";"En blanc";"5";",96"
"08034";"Altres";"7";"1,34"
"08038";"Sí - Sí";"752";"88,68"
"08038";"Sí - No";"34";"4,01"
"08038";"Sí - En blanc";"7";",83"
"08038";"No";"14";"1,65"
"08038";"En blanc";"9";"1,06"
"08038";"Altres";"32";"3,77"
"08047";"Sí - Sí";"1669";"78,73"
"08047";"Sí - No";"192";"9,06"
"08047";"Sí - En blanc";"32";"1,51"
"08047";"No";"114";"5,38"
"08047";"En blanc";"21";",99"
"08047";"Altres";"92";"4,34"
"08053";"Sí - Sí";"1002";"82,67"
"08053";"Sí - No";"109";"8,99"
"08053";"Sí - En blanc";"22";"1,82"
"08053";"No";"33";"2,72"
"08053";"En blanc";"6";",50"
"08053";"Altres";"40";"3,30"
"08059";"Sí - Sí";"214";"92,64"
"08059";"Sí - No";"5";"2,16"
"08059";"Sí - En blanc";"2";",87"
"08059";"No";"3";"1,30"
"08059";"En blanc";"2";",87"
"08059";"Altres";"5";"2,16"
"08061";"Sí - Sí";"498";"79,68"
"08061";"Sí - No";"57";"9,12"
"08061";"Sí - En blanc";"12";"1,92"
"08061";"No";"31";"4,96"
"08061";"En blanc";"3";",48"
"08061";"Altres";"24";"3,84"
"08062";"Sí - Sí";"406";"85,29"
"08062";"Sí - No";"38";"7,98"
"08062";"Sí - En blanc";"4";",84"
"08062";"No";"20";"4,20"
"08062";"En blanc";"3";",63"
"08062";"Altres";"5";"1,05"
"08079";"Sí - Sí";"248";"90,18"
"08079";"Sí - No";"7";"2,55"
"08079";"Sí - En blanc";"2";",73"
"08079";"No";"1";",36"
"08079";"En blanc";"10";"3,64"
"08079";"Altres";"7";"2,55"
"08084";"Sí - Sí";"567";"88,46"
"08084";"Sí - No";"30";"4,68"
"08084";"Sí - En blanc";"7";"1,09"
"08084";"No";"13";"2,03"
"08084";"En blanc";"7";"1,09"
"08084";"Altres";"17";"2,65"
"08090";"Sí - Sí";"86";"93,48"
"08090";"Sí - No";"1";"1,09"
"08090";"Sí - En blanc";"1";"1,09"
"08090";"No";"1";"1,09"
"08090";"En blanc";"2";"2,17"
"08090";"Altres";"1";"1,09"
"08113";"Sí - Sí";"23952";"88,06"
"08113";"Sí - No";"1663";"6,11"
"08113";"Sí - En blanc";"215";",79"
"08113";"No";"738";"2,71"
"08113";"En blanc";"130";",48"
"08113";"Altres";"502";"1,85"
"08242";"Sí - Sí";"123";"89,13"
"08242";"Sí - No";"5";"3,62"
"08242";"Sí - En blanc";"1";",72"
"08242";"No";"1";",72"
"08242";"En blanc";"4";"2,90"
"08242";"Altres";"4";"2,90"
"08138";"Sí - Sí";"2320";"89,68"
"08138";"Sí - No";"115";"4,45"
"08138";"Sí - En blanc";"24";",93"
"08138";"No";"57";"2,20"
"08138";"En blanc";"13";",50"
"08138";"Altres";"58";"2,24"
"08128";"Sí - Sí";"339";"89,92"
"08128";"Sí - No";"18";"4,77"
"08128";"Sí - En blanc";"4";"1,06"
"08128";"No";"7";"1,86"
"08128";"En blanc";"3";",80"
"08128";"Altres";"6";"1,59"
"08127";"Sí - Sí";"950";"85,82"
"08127";"Sí - No";"86";"7,77"
"08127";"Sí - En blanc";"13";"1,17"
"08127";"No";"27";"2,44"
"08127";"En blanc";"3";",27"
"08127";"Altres";"28";"2,53"
"08139";"Sí - Sí";"101";"82,79"
"08139";"Sí - No";"6";"4,92"
"08139";"Sí - En blanc";"5";"4,10"
"08139";"No";"1";",82"
"08139";"En blanc";"4";"3,28"
"08139";"Altres";"5";"4,10"
"08140";"Sí - Sí";"2328";"83,65"
"08140";"Sí - No";"212";"7,62"
"08140";"Sí - En blanc";"17";",61"
"08140";"No";"157";"5,64"
"08140";"En blanc";"19";",68"
"08140";"Altres";"50";"1,80"
"08141";"Sí - Sí";"2610";"89,11"
"08141";"Sí - No";"89";"3,04"
"08141";"Sí - En blanc";"36";"1,23"
"08141";"No";"144";"4,92"
"08141";"En blanc";"24";",82"
"08141";"Altres";"26";",89"
"08182";"Sí - Sí";"724";"75,18"
"08182";"Sí - No";"106";"11,01"
"08182";"Sí - En blanc";"6";",62"
"08182";"No";"70";"7,27"
"08182";"En blanc";"1";",10"
"08182";"Altres";"56";"5,82"
"08178";"Sí - Sí";"203";"89,82"
"08178";"Sí - No";"9";"3,98"
"08178";"Sí - En blanc";"4";"1,77"
"08178";"No";"5";"2,21"
"08178";"En blanc";"2";",88"
"08178";"Altres";"3";"1,33"
"08191";"Sí - Sí";"2524";"85,82"
"08191";"Sí - No";"199";"6,77"
"08191";"Sí - En blanc";"32";"1,09"
"08191";"No";"74";"2,52"
"08191";"En blanc";"24";",82"
"08191";"Altres";"88";"2,99"
"08212";"Sí - Sí";"358";"92,99"
"08212";"Sí - No";"6";"1,56"
"08212";"Sí - En blanc";"6";"1,56"
"08212";"No";"1";",26"
"08212";"En blanc";"5";"1,30"
"08212";"Altres";"9";"2,34"
"08213";"Sí - Sí";"3059";"86,51"
"08213";"Sí - No";"235";"6,65"
"08213";"Sí - En blanc";"26";",74"
"08213";"No";"111";"3,14"
"08213";"En blanc";"12";",34"
"08213";"Altres";"93";"2,63"
"08218";"Sí - Sí";"2936";"80,31"
"08218";"Sí - No";"309";"8,45"
"08218";"Sí - En blanc";"36";",98"
"08218";"No";"300";"8,21"
"08218";"En blanc";"19";",52"
"08218";"Altres";"56";"1,53"
"08229";"Sí - Sí";"370";"91,36"
"08229";"Sí - No";"10";"2,47"
"08229";"Sí - En blanc";"8";"1,98"
"08229";"No";"4";",99"
"08229";"En blanc";"5";"1,23"
"08229";"Altres";"8";"1,98"
"08098";"Sí - Sí";"895";"80,63"
"08098";"Sí - No";"84";"7,57"
"08098";"Sí - En blanc";"14";"1,26"
"08098";"No";"69";"6,22"
"08098";"En blanc";"3";",27"
"08098";"Altres";"45";"4,05"
"08262";"Sí - Sí";"2607";"83,10"
"08262";"Sí - No";"208";"6,63"
"08262";"Sí - En blanc";"38";"1,21"
"08262";"No";"131";"4,18"
"08262";"En blanc";"26";",83"
"08262";"Altres";"127";"4,05"
"08258";"Sí - Sí";"616";"93,05"
"08258";"Sí - No";"14";"2,11"
"08258";"Sí - En blanc";"6";",91"
"08258";"No";"10";"1,51"
"08258";"En blanc";"3";",45"
"08258";"Altres";"13";"1,96"
"08192";"Sí - Sí";"3001";"88,06"
"08192";"Sí - No";"221";"6,48"
"08192";"Sí - En blanc";"26";",76"
"08192";"No";"82";"2,41"
"08192";"En blanc";"26";",76"
"08192";"Altres";"52";"1,53"
"08274";"Sí - Sí";"1886";"79,41"
"08274";"Sí - No";"243";"10,23"
"08274";"Sí - En blanc";"35";"1,47"
"08274";"No";"115";"4,84"
"08274";"En blanc";"13";",55"
"08274";"Altres";"83";"3,49"
"08277";"Sí - Sí";"50";"96,15"
"08277";"Sí - No";"2";"3,85"
"08277";"Sí - En blanc";"0";",00"
"08277";"No";"0";",00"
"08277";"En blanc";"0";",00"
"08277";"Altres";"0";",00"
"43003";"Sí - Sí";"116";"83,45"
"43003";"Sí - No";"10";"7,19"
"43003";"Sí - En blanc";"1";",72"
"43003";"No";"6";"4,32"
"43003";"En blanc";"0";",00"
"43003";"Altres";"6";"4,32"
"43007";"Sí - Sí";"364";"85,45"
"43007";"Sí - No";"20";"4,69"
"43007";"Sí - En blanc";"6";"1,41"
"43007";"No";"21";"4,93"
"43007";"En blanc";"4";",94"
"43007";"Altres";"11";"2,58"
"43009";"Sí - Sí";"681";"88,10"
"43009";"Sí - No";"41";"5,30"
"43009";"Sí - En blanc";"9";"1,16"
"43009";"No";"20";"2,59"
"43009";"En blanc";"6";",78"
"43009";"Altres";"16";"2,07"
"43011";"Sí - Sí";"624";"90,43"
"43011";"Sí - No";"33";"4,78"
"43011";"Sí - En blanc";"6";",87"
"43011";"No";"18";"2,61"
"43011";"En blanc";"3";",43"
"43011";"Altres";"6";",87"
"43015";"Sí - Sí";"55";"94,83"
"43015";"Sí - No";"0";",00"
"43015";"Sí - En blanc";"1";"1,72"
"43015";"No";"0";",00"
"43015";"En blanc";"1";"1,72"
"43015";"Altres";"1";"1,72"
"43017";"Sí - Sí";"77";"89,53"
"43017";"Sí - No";"1";"1,16"
"43017";"Sí - En blanc";"1";"1,16"
"43017";"No";"4";"4,65"
"43017";"En blanc";"0";",00"
"43017";"Altres";"3";"3,49"
"43031";"Sí - Sí";"839";"88,88"
"43031";"Sí - No";"37";"3,92"
"43031";"Sí - En blanc";"12";"1,27"
"43031";"No";"22";"2,33"
"43031";"En blanc";"5";",53"
"43031";"Altres";"29";"3,07"
"43033";"Sí - Sí";"385";"86,91"
"43033";"Sí - No";"28";"6,32"
"43033";"Sí - En blanc";"6";"1,35"
"43033";"No";"17";"3,84"
"43033";"En blanc";"2";",45"
"43033";"Altres";"5";"1,13"
"43038";"Sí - Sí";"5905";"79,27"
"43038";"Sí - No";"660";"8,86"
"43038";"Sí - En blanc";"97";"1,30"
"43038";"No";"445";"5,97"
"43038";"En blanc";"43";",58"
"43038";"Altres";"299";"4,01"
"43039";"Sí - Sí";"62";"95,38"
"43039";"Sí - No";"0";",00"
"43039";"Sí - En blanc";"3";"4,62"
"43039";"No";"0";",00"
"43039";"En blanc";"0";",00"
"43039";"Altres";"0";",00"
"43042";"Sí - Sí";"1056";"87,27"
"43042";"Sí - No";"69";"5,70"
"43042";"Sí - En blanc";"7";",58"
"43042";"No";"42";"3,47"
"43042";"En blanc";"7";",58"
"43042";"Altres";"29";"2,40"
"43045";"Sí - Sí";"97";"87,39"
"43045";"Sí - No";"5";"4,50"
"43045";"Sí - En blanc";"2";"1,80"
"43045";"No";"1";",90"
"43045";"En blanc";"0";",00"
"43045";"Altres";"6";"5,41"
"43053";"Sí - Sí";"127";"90,71"
"43053";"Sí - No";"4";"2,86"
"43053";"Sí - En blanc";"0";",00"
"43053";"No";"2";"1,43"
"43053";"En blanc";"0";",00"
"43053";"Altres";"7";"5,00"
"43057";"Sí - Sí";"18";"94,74"
"43057";"Sí - No";"0";",00"
"43057";"Sí - En blanc";"1";"5,26"
"43057";"No";"0";",00"
"43057";"En blanc";"0";",00"
"43057";"Altres";"0";",00"
"43081";"Sí - Sí";"328";"91,88"
"43081";"Sí - No";"12";"3,36"
"43081";"Sí - En blanc";"2";",56"
"43081";"No";"10";"2,80"
"43081";"En blanc";"2";",56"
"43081";"Altres";"3";",84"
"43088";"Sí - Sí";"957";"87,64"
"43088";"Sí - No";"56";"5,13"
"43088";"Sí - En blanc";"8";",73"
"43088";"No";"35";"3,21"
"43088";"En blanc";"4";",37"
"43088";"Altres";"32";"2,93"
"43092";"Sí - Sí";"1804";"82,53"
"43092";"Sí - No";"155";"7,09"
"43092";"Sí - En blanc";"15";",69"
"43092";"No";"125";"5,72"
"43092";"En blanc";"9";",41"
"43092";"Altres";"78";"3,57"
"43116";"Sí - Sí";"288";"90,85"
"43116";"Sí - No";"15";"4,73"
"43116";"Sí - En blanc";"5";"1,58"
"43116";"No";"2";",63"
"43116";"En blanc";"4";"1,26"
"43116";"Altres";"3";",95"
"43118";"Sí - Sí";"238";"89,81"
"43118";"Sí - No";"13";"4,91"
"43118";"Sí - En blanc";"0";",00"
"43118";"No";"5";"1,89"
"43118";"En blanc";"0";",00"
"43118";"Altres";"9";"3,40"
"43123";"Sí - Sí";"23203";"82,18"
"43123";"Sí - No";"2329";"8,25"
"43123";"Sí - En blanc";"282";"1,00"
"43123";"No";"1348";"4,77"
"43123";"En blanc";"165";",58"
"43123";"Altres";"907";"3,21"
"43127";"Sí - Sí";"454";"88,50"
"43127";"Sí - No";"36";"7,02"
"43127";"Sí - En blanc";"1";",19"
"43127";"No";"10";"1,95"
"43127";"En blanc";"1";",19"
"43127";"Altres";"11";"2,14"
"43128";"Sí - Sí";"462";"83,24"
"43128";"Sí - No";"43";"7,75"
"43128";"Sí - En blanc";"9";"1,62"
"43128";"No";"21";"3,78"
"43128";"En blanc";"2";",36"
"43128";"Altres";"18";"3,24"
"43129";"Sí - Sí";"2357";"87,26"
"43129";"Sí - No";"113";"4,18"
"43129";"Sí - En blanc";"34";"1,26"
"43129";"No";"115";"4,26"
"43129";"En blanc";"15";",56"
"43129";"Altres";"67";"2,48"
"43145";"Sí - Sí";"1928";"85,69"
"43145";"Sí - No";"148";"6,58"
"43145";"Sí - En blanc";"34";"1,51"
"43145";"No";"58";"2,58"
"43145";"En blanc";"18";",80"
"43145";"Altres";"64";"2,84"
"43162";"Sí - Sí";"1333";"77,37"
"43162";"Sí - No";"182";"10,56"
"43162";"Sí - En blanc";"24";"1,39"
"43162";"No";"122";"7,08"
"43162";"En blanc";"14";",81"
"43162";"Altres";"48";"2,79"
"43167";"Sí - Sí";"228";"88,37"
"43167";"Sí - No";"10";"3,88"
"43167";"Sí - En blanc";"6";"2,33"
"43167";"No";"8";"3,10"
"43167";"En blanc";"0";",00"
"43167";"Altres";"6";"2,33"
"43169";"Sí - Sí";"311";"93,11"
"43169";"Sí - No";"9";"2,69"
"43169";"Sí - En blanc";"4";"1,20"
"43169";"No";"3";",90"
"43169";"En blanc";"0";",00"
"43169";"Altres";"7";"2,10"
"43178";"Sí - Sí";"482";"82,39"
"43178";"Sí - No";"45";"7,69"
"43178";"Sí - En blanc";"8";"1,37"
"43178";"No";"17";"2,91"
"43178";"En blanc";"4";",68"
"43178";"Altres";"29";"4,96"
"43904";"Sí - Sí";"1221";"79,18"
"43904";"Sí - No";"87";"5,64"
"43904";"Sí - En blanc";"22";"1,43"
"43904";"No";"64";"4,15"
"43904";"En blanc";"24";"1,56"
"43904";"Altres";"124";"8,04"
"43006";"Sí - Sí";"301";"84,79"
"43006";"Sí - No";"12";"3,38"
"43006";"Sí - En blanc";"4";"1,13"
"43006";"No";"27";"7,61"
"43006";"En blanc";"5";"1,41"
"43006";"Altres";"6";"1,69"
"43008";"Sí - Sí";"82";"78,10"
"43008";"Sí - No";"6";"5,71"
"43008";"Sí - En blanc";"4";"3,81"
"43008";"No";"3";"2,86"
"43008";"En blanc";"2";"1,90"
"43008";"Altres";"8";"7,62"
"43013";"Sí - Sí";"2038";"87,77"
"43013";"Sí - No";"116";"5,00"
"43013";"Sí - En blanc";"28";"1,21"
"43013";"No";"56";"2,41"
"43013";"En blanc";"15";",65"
"43013";"Altres";"69";"2,97"
"43906";"Sí - Sí";"941";"88,11"
"43906";"Sí - No";"39";"3,65"
"43906";"Sí - En blanc";"17";"1,59"
"43906";"No";"33";"3,09"
"43906";"En blanc";"11";"1,03"
"43906";"Altres";"27";"2,53"
"43025";"Sí - Sí";"309";"85,60"
"43025";"Sí - No";"19";"5,26"
"43025";"Sí - En blanc";"6";"1,66"
"43025";"No";"14";"3,88"
"43025";"En blanc";"4";"1,11"
