"Codi Comarca";"Sigles";"Vots";"percent"
"25";"En blanc";"37";",93"
"25";"Altres";"99";"2,48"
"26";"Sí - Sí";"2738";"88,78"
"26";"Sí - No";"156";"5,06"
"26";"Sí - En blanc";"40";"1,30"
"26";"No";"52";"1,69"
"26";"En blanc";"24";",78"
"26";"Altres";"74";"2,40"
"27";"Sí - Sí";"11790";"88,79"
"27";"Sí - No";"590";"4,44"
"27";"Sí - En blanc";"154";"1,16"
"27";"No";"323";"2,43"
"27";"En blanc";"134";"1,01"
"27";"Altres";"288";"2,17"
"28";"Sí - Sí";"13978";"92,64"
"28";"Sí - No";"475";"3,15"
"28";"Sí - En blanc";"147";",97"
"28";"No";"177";"1,17"
"28";"En blanc";"84";",56"
"28";"Altres";"227";"1,50"
"29";"Sí - Sí";"4310";"91,59"
"29";"Sí - No";"149";"3,17"
"29";"Sí - En blanc";"63";"1,34"
"29";"No";"67";"1,42"
"29";"En blanc";"22";",47"
"29";"Altres";"95";"2,02"
"30";"Sí - Sí";"8457";"86,86"
"30";"Sí - No";"511";"5,25"
"30";"Sí - En blanc";"110";"1,13"
"30";"No";"304";"3,12"
"30";"En blanc";"85";",87"
"30";"Altres";"269";"2,76"
"31";"Sí - Sí";"11521";"89,13"
"31";"Sí - No";"523";"4,05"
"31";"Sí - En blanc";"166";"1,28"
"31";"No";"287";"2,22"
"31";"En blanc";"100";",77"
"31";"Altres";"329";"2,55"
"32";"Sí - Sí";"7240";"88,05"
"32";"Sí - No";"377";"4,58"
"32";"Sí - En blanc";"104";"1,26"
"32";"No";"196";"2,38"
"32";"En blanc";"66";",80"
"32";"Altres";"240";"2,92"
"33";"Sí - Sí";"52008";"82,34"
"33";"Sí - No";"5398";"8,55"
"33";"Sí - En blanc";"701";"1,11"
"33";"No";"2747";"4,35"
"33";"En blanc";"447";",71"
"33";"Altres";"1865";"2,95"
"34";"Sí - Sí";"44946";"85,57"
"34";"Sí - No";"3270";"6,23"
"34";"Sí - En blanc";"559";"1,06"
"34";"No";"1847";"3,52"
"34";"En blanc";"269";",51"
"34";"Altres";"1634";"3,11"
"35";"Sí - Sí";"5572";"89,64"
"35";"Sí - No";"283";"4,55"
"35";"Sí - En blanc";"60";",97"
"35";"No";"106";"1,71"
"35";"En blanc";"56";",90"
"35";"Altres";"139";"2,24"
"36";"Sí - Sí";"40690";"77,14"
"36";"Sí - No";"5455";"10,34"
"36";"Sí - En blanc";"542";"1,03"
"36";"No";"3848";"7,29"
"36";"En blanc";"283";",54"
"36";"Altres";"1933";"3,66"
"37";"Sí - Sí";"3203";"85,53"
"37";"Sí - No";"202";"5,39"
"37";"Sí - En blanc";"67";"1,79"
"37";"No";"138";"3,68"
"37";"En blanc";"22";",59"
"37";"Altres";"113";"3,02"
"38";"Sí - Sí";"14023";"89,06"
"38";"Sí - No";"701";"4,45"
"38";"Sí - En blanc";"195";"1,24"
"38";"No";"328";"2,08"
"38";"En blanc";"112";",71"
"38";"Altres";"387";"2,46"
"39";"Sí - Sí";"1060";"62,76"
"39";"Sí - No";"234";"13,85"
"39";"Sí - En blanc";"31";"1,84"
"39";"No";"214";"12,67"
"39";"En blanc";"23";"1,36"
"39";"Altres";"127";"7,52"
"40";"Sí - Sí";"192762";"76,89"
"40";"Sí - No";"31450";"12,55"
"40";"Sí - En blanc";"2253";",90"
"40";"No";"13965";"5,57"
"40";"En blanc";"1212";",48"
"40";"Altres";"9042";"3,61"
"41";"Sí - Sí";"102342";"80,73"
"41";"Sí - No";"12662";"9,99"
"41";"Sí - En blanc";"1206";",95"
"41";"No";"5893";"4,65"
"41";"En blanc";"646";",51"
"41";"Altres";"4029";"3,18"
