"Codi";"Sigles";"Vots";"percent"
"25";"Altres";"147";"2,62"
"26";"Sí - Sí";"2738";"88,78"
"26";"Sí - No";"156";"5,06"
"26";"Sí - En blanc";"40";"1,30"
"26";"No";"52";"1,69"
"26";"En blanc";"24";",78"
"26";"Altres";"74";"2,40"
"27";"Sí - Sí";"13817";"88,67"
"27";"Sí - No";"699";"4,49"
"27";"Sí - En blanc";"182";"1,17"
"27";"No";"398";"2,55"
"27";"En blanc";"147";",94"
"27";"Altres";"340";"2,18"
"28";"Sí - Sí";"14187";"92,66"
"28";"Sí - No";"483";"3,15"
"28";"Sí - En blanc";"148";",97"
"28";"No";"177";"1,16"
"28";"En blanc";"85";",56"
"28";"Altres";"231";"1,51"
"29";"Sí - Sí";"4887";"91,07"
"29";"Sí - No";"177";"3,30"
"29";"Sí - En blanc";"68";"1,27"
"29";"No";"82";"1,53"
"29";"En blanc";"28";",52"
"29";"Altres";"124";"2,31"
"30";"Sí - Sí";"8841";"86,91"
"30";"Sí - No";"531";"5,22"
"30";"Sí - En blanc";"119";"1,17"
"30";"No";"310";"3,05"
"30";"En blanc";"90";",88"
"30";"Altres";"282";"2,77"
"31";"Sí - Sí";"11762";"89,18"
"31";"Sí - No";"534";"4,05"
"31";"Sí - En blanc";"169";"1,28"
"31";"No";"288";"2,18"
"31";"En blanc";"102";",77"
"31";"Altres";"334";"2,53"
"32";"Sí - Sí";"7715";"88,35"
"32";"Sí - No";"396";"4,54"
"32";"Sí - En blanc";"108";"1,24"
"32";"No";"199";"2,28"
"32";"En blanc";"67";",77"
"32";"Altres";"247";"2,83"
"33";"Sí - Sí";"54538";"82,56"
"33";"Sí - No";"5545";"8,39"
"33";"Sí - En blanc";"742";"1,12"
"33";"No";"2843";"4,30"
"33";"En blanc";"468";",71"
"33";"Altres";"1926";"2,92"
"34";"Sí - Sí";"45249";"85,54"
"34";"Sí - No";"3294";"6,23"
"34";"Sí - En blanc";"562";"1,06"
"34";"No";"1871";"3,54"
"34";"En blanc";"272";",51"
"34";"Altres";"1652";"3,12"
"35";"Sí - Sí";"5572";"89,64"
"35";"Sí - No";"283";"4,55"
"35";"Sí - En blanc";"60";",97"
"35";"No";"106";"1,71"
"35";"En blanc";"56";",90"
"35";"Altres";"139";"2,24"
"36";"Sí - Sí";"42472";"77,30"
"36";"Sí - No";"5635";"10,26"
"36";"Sí - En blanc";"571";"1,04"
"36";"No";"3971";"7,23"
"36";"En blanc";"294";",54"
"36";"Altres";"2003";"3,65"
"37";"Sí - Sí";"4404";"85,27"
"37";"Sí - No";"282";"5,46"
"37";"Sí - En blanc";"87";"1,68"
"37";"No";"184";"3,56"
"37";"En blanc";"42";",81"
"37";"Altres";"166";"3,21"
"38";"Sí - Sí";"14023";"89,06"
"38";"Sí - No";"701";"4,45"
"38";"Sí - En blanc";"195";"1,24"
"38";"No";"328";"2,08"
"38";"En blanc";"112";",71"
"38";"Altres";"387";"2,46"
"39";"Sí - Sí";"1091";"62,59"
"39";"Sí - No";"241";"13,83"
"39";"Sí - En blanc";"33";"1,89"
"39";"No";"223";"12,79"
"39";"En blanc";"24";"1,38"
"39";"Altres";"131";"7,52"
"40";"Sí - Sí";"199433";"77,06"
"40";"Sí - No";"32402";"12,52"
"40";"Sí - En blanc";"2294";",89"
"40";"No";"14254";"5,51"
"40";"En blanc";"1255";",48"
"40";"Altres";"9177";"3,55"
"41";"Sí - Sí";"103850";"80,58"
"41";"Sí - No";"12959";"10,06"
"41";"Sí - En blanc";"1222";",95"
"41";"No";"6047";"4,69"
"41";"En blanc";"658";",51"
"41";"Altres";"4136";"3,21"
